timestamp	title	description	evidence
2026-03-13T01:16:07.868149	CALCOCO2/NOL10 Transcript Diversity Analysis	Comprehensive analysis of CALCOCO2 (NOL10) transcript variants reveals unexpectedly low sequence identity (18-33%) between isoforms despite similar lengths (~470 aa). NM_001261390.2 confirmed as CALCOCO2 with 100% identity to NP_001248319.1. Gene is NOL10 (PQBP5 alias), chromosome 2, involved in RNA binding and rRNA maturation.	Protein comparisons: v1/v2=18.8%, v1/v4=32.7%; NM_001261394.2=638aa different ORF; BLAST confirmed CALCOCO2 identity; Gene info: NOL10, 2p25.1, RNA binding activity
2026-03-13T01:16:30.831156	CALCOCO2 Isoform Structural Divergence Pattern	Multiple CALCOCO2 transcript variants (NM_001261390.2, NM_001261391.2, NM_001261394.2) show unexpectedly low sequence identity (18-33%) despite similar lengths (~470 aa). This suggests extensive alternative splicing affecting protein structure rather than minor sequence variations.	Protein comparisons: 18.8% identity between v1/v2, 32.7% between v1/v4; BLAST confirmed NM_001261390.2 matches NP_001248319.1 CALCOCO2 with 100% identity
2026-03-13T01:17:30.208245	CALCOCO2 Isoform Composition Analysis	Comparison of NM_001261394.2 (638 aa) vs NM_001261390.2 (470 aa) reveals significant composition differences: Q residue 4.7% vs 10.6%, R residue 7.1% vs 3.2%. Length ratio 73.67% indicates extensive alternative splicing affecting protein structure.	Sequence comparison shows >2% composition difference in both glutamine and arginine residues; length difference of 168 aa suggests major structural variation between isoforms
2026-03-13T01:31:45.566066	PTEN Transcript Variant Diversity Pattern	Significant structural variation between PTEN mRNA isoforms (NM_001304718.2 vs NM_001304717.5) with 36.7% pairwise identity despite being from same gene - consistent with BRCA1 pattern	NM_001304718.2 (8628 bp) vs NM_001304717.5 (8514 bp), 36.7% ungapped identity, length ratio 98.68%
2026-03-13T01:33:23.834361	NOL10 Transcript Variant Diversity Pattern	Significant structural variation between NOL10 mRNA isoforms (NM_001261392.2 vs NM_001261394.2) with 33.1% pairwise identity despite being from same gene - consistent with PTEN and BRCA1 patterns	NM_001261392.2 (3420 bp) vs NM_001261394.2 (3348 bp), 33.1% ungapped identity, length ratio 97.89%, protein lengths 662 aa vs 638 aa
2026-03-13T01:34:58.288092	NOL10 Predicted Isoform X10 Characteristics	XM_054344004.1 (predicted variant X10) shows significant truncation compared to NM_001261392.2 - 44.88% length ratio, 305 aa vs 662 aa protein, distinct nucleotide composition	XM_054344004.1 (1535 bp) vs NM_001261392.2 (3420 bp), 44.88% length ratio, 305 aa vs 662 aa protein, composition differences: A 26.1% vs 31.4%, C 23.5% vs 19.5%, T 28.7% vs 26.0%
2026-03-13T01:36:02.869069	NOL10 Predicted Isoforms X8 vs X10 Comparison	XM_054344003.1 (X8) and XM_054344004.1 (X10) show similar protein lengths (305 aa each) but different DNA lengths (1121 bp vs 1535 bp, 73.03% ratio), suggesting alternative splicing patterns affecting untranslated regions	XM_054344003.1: 1121 bp DNA, 305 aa protein; XM_054344004.1: 1535 bp DNA, 305 aa protein; Composition differences: C 20.9% vs 23.5%, G 23.9% vs 21.8%
2026-03-13T01:36:41.701596	NOL10 Predicted Isoform X8 vs Reference Comparison	XM_054344003.1 (X8) shows significant truncation compared to reference NM_001261392.2 - 32.78% length ratio, 1121 bp vs 3420 bp DNA, suggesting alternative splicing affecting UTRs	XM_054344003.1: 1121 bp DNA; NM_001261392.2: 3420 bp DNA; Composition differences: A 27.3% vs 31.4%
2026-03-13T01:37:53.991211	NOL10 Predicted Isoform X7 vs Reference Comparison	XM_054344002.1 (X7) shows dramatic truncation compared to reference NM_001261392.2 - 29.10% length ratio, 11,753 bp vs 3,420 bp DNA, 345 aa protein	XM_054344002.1: 11,753 bp DNA, 345 aa protein; NM_001261392.2: 3,420 bp DNA; Composition differences: A 28.6% vs 31.4%, G 20.7% vs 23.1%, T 31.6% vs 26.0%
2026-03-13T01:39:00.237059	NOL10 Predicted Isoform X6 vs Reference Comparison	XM_054344001.1 (X6) shows significant truncation compared to reference NM_001261392.2 - 37.30% length ratio, 9,169 bp vs 3,420 bp DNA, 358 aa protein	XM_054344001.1: 9,169 bp DNA, 358 aa protein; NM_001261392.2: 3,420 bp DNA; Composition differences: A 28.1% vs 31.4%, G 20.8% vs 23.1%, T 30.9% vs 26.0%
2026-03-13T01:40:01.965284	NOL10 Predicted Isoform X8 vs Reference Comparison	XM_054344003.1 (X8) shows significant truncation compared to reference NM_001261392.2 - 32.78% length ratio, 1,121 bp vs 3,420 bp DNA, 305 aa protein	XM_054344003.1: 1,121 bp DNA, 305 aa protein; NM_001261392.2: 3,420 bp DNA; Composition differences: A 27.3% vs 31.4%
2026-03-13T01:41:18.481122	NOL10 Predicted Isoform X7 vs Reference Comparison	XM_054344002.1 (X7) shows significant truncation compared to reference NM_001261392.2 - 29.10% length ratio, 11,753 bp vs 3,420 bp DNA, 345 aa protein	XM_054344002.1: 11,753 bp DNA, 345 aa protein; NM_001261392.2: 3,420 bp DNA; Composition differences: A 28.6% vs 31.4%, G 20.7% vs 23.1%, T 31.6% vs 26.0%
2026-03-13T02:27:35.874779	BRCA1 Transcript Variant Divergence Pattern	NM_001408450.1 (v309) vs NM_001408458.1 (v317) show only 23.9% pairwise identity despite being same gene - highly unusual divergence for orthologous transcripts	Lengths: 3739 bp vs 3785 bp; Identity: 23.9%; Both are BRCA1 mRNA variants
2026-03-13T02:28:31.250954	BRCA1 Protein Sequence Divergence Pattern	NM_001408450.1 (v309) vs NM_001408458.1 (v317) show only 8.0% protein identity despite 98.78% DNA similarity - highly unusual divergence for same-gene transcripts	DNA: 3739 bp vs 3785 bp; Protein: 717 aa vs 712 aa; Identity: 8.0%; Different ORF frames (+1 vs +2); Both are BRCA1 mRNA variants
2026-03-13T02:30:27.790908	BRCA1 Transcript Variant Frame Divergence Pattern	Multiple BRCA1 transcript variants show only ~8% protein identity despite 98-99% DNA similarity - consistent pattern across v309, v317, and v318 suggests alternative ORF usage or structural variation	v309: 3739 bp/717 aa (+1 ORF); v317: 3785 bp/712 aa (+2 ORF); v318: 3716 bp/712 aa (+2 ORF); All show ~8% protein identity; DNA similarity 98.78-99.38%
2026-03-13T02:31:41.610279	BRCA1 Protein Variant Identity Pattern	Multiple BRCA1 protein variants show ~8% pairwise identity despite ~99% sequence length - consistent with alternative ORF usage, frame shifts, or structural variation across transcript isoforms	NM_001408459.1 vs NM_001408450.1: 712aa vs 717aa, 99.30% length ratio, 8.0% identity; Similar to BRCA1 v309/v317/v318 pattern showing ~8% protein identity with high DNA similarity
2026-03-13T03:02:59.932762	TP53 Transcript Variant Length Diversity Pattern	Multiple TP53 mRNA variants produce proteins with 214-354 aa lengths, suggesting alternative splicing affects coding regions. NM_001126118.2 (354 aa) appears to be full-length, while NM_001126117.2 (214 aa) and NM_001126115.2 (261 aa) are truncated variants.	"[
        ""NM_001126118.2: 354 aa, full-length"
2026-03-13T03:12:34.023588	TP53 Transcript Variant 8 Truncation Pattern	NM_001126118.2 encodes a significantly truncated p53 protein (354 aa vs canonical 393 aa) with only 5.6% identity to wild-type, suggesting potential loss-of-function or dominant-negative effects.	Comparison of NM_001126118.2.protein.fasta (354aa) vs NM_000546.5.protein.fasta (393aa) shows 90% length ratio but only 5.6% sequence identity
2026-03-13T03:13:42.718073	TP53 Multiple Truncated Transcript Variants Pattern	Multiple TP53 transcript variants show significant truncation compared to canonical 393 aa p53 protein: NM_001126117.2 (Variant 7, 214aa) and NM_001126118.2 (Variant 8, 354aa). Both variants show reduced length and altered amino acid composition compared to wild-type.	NM_001126117.2: 214 aa vs canonical 393 aa; NM_001126118.2: 354 aa vs canonical 393 aa; Both variants show truncated protein domains
2026-03-13T03:15:12.187979	TP53 Truncated Variant Analysis - NM_001126118.2		
2026-03-13T03:17:42.043966	TP53 Protein Variant Comparison Summary		
2026-03-13T03:18:02.905076	TP53 Variant Length Analysis - NM_001126118.2 vs Others		
2026-03-13T03:18:55.119122	TP53 Variant 8 vs Canonical - Low Homology Analysis		
2026-03-13T03:19:31.753972	TP53 Variant 7 vs Variant 8 - Isoform Comparison		
2026-03-13T03:22:02.085618	TP53 Protein File Availability - Limited Variant Coverage		
2026-03-13T03:30:54.039796	Low Sequence Identity Between NM_001126118.2 and NM_000546	Comparing NM_001126118.2.protein.fasta (354 aa) with NM_000546.protein.fasta (393 aa) shows only 5.6% pairwise identity, indicating these are likely distinct protein products or isoforms from different genes.	compare_sequences result showing 5.6% ungapped identity
2026-03-13T03:31:50.533645	TP53 Transcript Variant Length Differences	Comparing NM_001126117.2.protein.fasta (214 aa) with NM_001126118.2.protein.fasta (354 aa) shows significant length variation due to alternative splicing, with amino acid composition differences (A: 2.8% vs 6.5%).	compare_sequences result showing length ratio of 60.45% and composition differences
2026-03-13T03:37:47.610375	Untitled Finding		
2026-03-13T03:39:17.836150	Untitled Finding		
2026-03-13T03:41:24.862543	TP53 Transcript Variant Divergence Pattern	Two TP53 transcript variants (NM_001126112.3 vs NM_001126118.2) show only 28.4% pairwise identity despite being from the same gene, indicating significant structural divergence between isoforms.	compare_sequences(NM_001126112.3.fasta, NM_001126118.2.fasta): Length ratio 95.44%, Pairwise identity 28.4%
2026-03-13T03:42:48.901071	TP53 Isoform Protein Length Divergence	Two TP53 transcript variants (NM_001126112.3 variant 2 vs NM_001126118.2 variant 8) produce proteins of different lengths (393 aa vs 354 aa, ~10% difference) with only 28.4% pairwise sequence identity, indicating significant structural divergence between isoforms.	NM_001126112.3: 393 aa protein; NM_001126118.2: 354 aa protein; compare_sequences showed 28.4% pairwise identity
2026-03-13T03:43:47.806732	TP53 Isoform NM_001126113.3 Protein Analysis	NM_001126113.3 transcript variant 4 produces a 346 aa protein with 24.0% charged and 32.4% hydrophobic residues, shorter than most other TP53 isoforms.	Translation: NM_001126113.3.fasta; Best ORF: frame +1, 346 aa
2026-03-13T03:44:37.279370	TP53 Isoform NM_001126116.2 Protein Analysis	NM_001126116.2 transcript variant 6 produces a 209 aa protein with 28.7% charged and 27.8% hydrophobic residues, one of the shortest TP53 isoforms analyzed.	Translation: NM_001126116.2.fasta; Best ORF: frame +2, 209 aa
2026-03-13T03:45:28.397490	TP53 Isoform NM_001126117.2 Protein Analysis	NM_001126117.2 transcript variant 7 produces a 214 aa protein with 27.6% charged and 30.8% hydrophobic residues, similar length to NM_001126116.2.	Translation: NM_001126117.2.fasta; Best ORF: frame +2, 214 aa
2026-03-13T03:46:05.123296	TP53 Isoform NM_001126115.2 Protein Analysis	NM_001126115.2 transcript variant 5 produces a 261 aa protein with 32.2% charged and 27.6% hydrophobic residues, longer than the very short isoforms but shorter than most other TP53 isoforms.	Translation: NM_001126115.2.fasta; Best ORF: frame +2, 261 aa
2026-03-13T04:32:21.123991	TP53 Transcript Variant Structural Divergence	Multiple TP53 transcript variants show significant protein length variation (261-393 aa) and amino acid composition differences, indicating alternative splicing patterns that may affect functional domains.	
2026-03-13T04:33:26.550763	TP53 Transcript Variant Analysis Summary	Analysis of multiple TP53 transcript variants reveals two distinct patterns: 1) Some variants encode identical proteins (e.g., NM_001126112.3, NM_000546.5 all 393 aa with 100% identity), while others show significant structural divergence (ranging from 261-393 aa with amino acid composition differences). This suggests alternative splicing patterns that may affect functional domains and protein stability.	
2026-03-13T04:45:09.429219	TP53 Transcript Variant DNA Divergence Pattern	Multiple TP53 transcript variants show significant DNA sequence divergence despite similar protein products	
2026-03-13T04:57:51.241731	TP53 Transcript Variant Extreme Divergence Pattern	Two TP53 transcript variants (NM_001126112.3 vs NM_001126118.2) show only 28.4% pairwise DNA identity despite being from the same gene - this is an extreme divergence pattern not previously observed	compare_sequences(NM_001126112.3.fasta, NM_001126118.2.fasta): Length ratio 95.44%, Pairwise identity (ungapped) 28.4%
2026-03-13T05:00:27.643514	TP53 Protein Composition Conservation Despite Extreme DNA Divergence	Two TP53 transcript variants show only 28.4% DNA identity but nearly identical protein composition (charged: 27.5% vs 28.2%, hydrophobic: 30.0% vs 29.9%). This suggests convergent evolution or compensatory mutations preserving protein function despite massive sequence divergence.	NM_001126112.3.protein.fasta: 393 aa, 27.5% charged, 30.0% hydrophobic; NM_001126118.2.protein.fasta: 354 aa, 28.2% charged, 29.9% hydrophobic
2026-03-13T05:01:41.927405	PTEN Transcript Variant Extreme Divergence	Two PTEN transcript variants show only 35.3% DNA identity despite nearly identical lengths (8515 bp vs 8514 bp). This represents extreme sequence divergence within the same gene, similar to TP53 findings.	NM_000314.8: 8515 bp; NM_001304717.5: 8514 bp; Pairwise identity: 35.3%
2026-03-13T05:02:31.727226	PTEN Transcript Variant 1 vs 3 Extreme Divergence	NM_000314.8 (variant 1) and NM_001304718.2 (variant 3) show only 32.1% DNA identity despite nearly identical lengths (98.69%). This represents the lowest divergence yet among PTEN variants, confirming extreme sequence variation within this gene.	NM_000314.8: 8515 bp; NM_001304718.2: 8628 bp; Pairwise identity: 32.1%
2026-03-13T05:03:49.961597	BRCA1 Transcript Variant Extreme Divergence	Two BRCA1 transcript variants (NM_001408467.1 variant 326 and NM_001408497.1 variant 351) show only 30.0% DNA identity despite nearly identical lengths (98.49%). This represents extreme sequence divergence within the same gene, similar to PTEN findings.	NM_001408467.1: 3716 bp; NM_001408497.1: 3773 bp; Pairwise identity: 30.0%
2026-03-13T05:04:39.467075	BRCA1 Transcript Variant 359 vs 326 Extreme Divergence	NM_001408505.1 (variant 359) and NM_001408467.1 (variant 326) show only 29.1% DNA identity despite 95.56% length similarity. This confirms the extreme divergence pattern observed in BRCA1 transcript variants.	NM_001408505.1: 3551 bp; NM_001408467.1: 3716 bp; Pairwise identity: 29.1%
2026-03-13T05:05:20.098063	BRCA1 Transcript Variant 309 vs 326 Extreme Divergence	NM_001408450.1 (variant 309) and NM_001408467.1 (variant 326) show only 27.9% DNA identity despite 99.38% length similarity. This represents the lowest divergence yet among BRCA1 transcript variants analyzed.	NM_001408450.1: 3739 bp; NM_001408467.1: 3716 bp; Pairwise identity: 27.9%
2026-03-13T05:06:07.666290	BRCA1 Transcript Variant 317 vs 326 Extreme Divergence	NM_001408458.1 (variant 317) and NM_001408467.1 (variant 326) show only 26.0% DNA identity despite 98.18% length similarity. This represents the lowest divergence yet among BRCA1 transcript variants analyzed.	NM_001408458.1: 3785 bp; NM_001408467.1: 3716 bp; Pairwise identity: 26.0%
2026-03-13T05:06:45.599628	BRCA1 Transcript Variant 359 vs 317 Extreme Divergence	NM_001408505.1 (variant 359) and NM_001408458.1 (variant 317) show only 25.8% DNA identity despite 93.82% length similarity. This represents the lowest divergence yet among BRCA1 transcript variants analyzed, confirming extreme sequence divergence within the same gene.	NM_001408505.1: 3551 bp; NM_001408458.1: 3785 bp; Pairwise identity: 25.8%
2026-03-13T05:09:33.146547	TP53 Transcript Variant Divergence Pattern	Comparing NM_000546.5 vs NM_001126112.3 (both TP53 mRNA): 27.5% sequence identity despite being same gene - indicates significant transcript variant divergence	NM_000546.5.fasta: 2591 bp, NM_001126112.3.fasta: 2509 bp
2026-03-13T05:10:27.657421	TP53 Transcript Variant Length Divergence	Comparing NM_001126113.3 vs NM_001126115.2 (both TP53 mRNA): 77.88% length ratio indicates major transcript variant divergence - sequences differ too much for simple alignment	NM_001126113.3.fasta: 2572 bp, NM_001126115.2.fasta: 2003 bp
2026-03-13T05:11:10.178713	File Not Found - NM_000546.6.fasta	Attempted comparison of NM_000546.5 vs NM_000546.6 failed - NM_000546.6.fasta not found in expected directory	Error: File not found: C:\\Users\\bacoo\\OneDrive\\Bureau\\Genoresearch\\data\\sequences\\NM_000546.6.fasta
2026-03-13T05:11:50.033566	TP53 Transcript Variant Low Identity Pattern	Comparing NM_001126113.3 vs NM_001126112.3 (both TP53 mRNA): 97.55% length ratio but only 31.5% sequence identity - indicates major structural divergence despite similar transcript lengths	NM_001126113.3.fasta: 2572 bp, NM_001126112.3.fasta: 2509 bp
2026-03-13T05:12:34.020108	TP53 Protein Variant Length Divergence	Comparing NM_001126113.3 vs NM_001126112.3 protein sequences (both TP53): 88.04% length ratio but sequences differ too much for simple alignment - indicates significant structural divergence between transcript variants	NM_001126113.3.protein.fasta: 346 aa, NM_001126112.3.protein.fasta: 393 aa
2026-03-13T05:13:08.312661	File Not Found - NM_001126114.fasta	Attempted comparison of NM_001126114 vs NM_001126112.3 failed - NM_001126114.fasta not found in expected directory	Error: File not found: C:\\Users\\bacoo\\OneDrive\\Bureau\\Genoresearch\\data\\sequences\\NM_001126114.fasta
2026-03-13T05:13:57.263641	TP53 Protein Variant Length Divergence	Comparison of NM_001126115.2.protein.fasta (261 aa) vs NM_001126113.3.protein.fasta (346 aa) reveals significant length and composition differences - 75.43% length ratio with >2% amino acid composition divergence	Length: 261aa vs 346aa | Ratio: 75.43% | K: 6.1% vs 3.5% | P: 8.0% vs 12.4% | R: 9.2% vs 6.1%
2026-03-13T05:14:33.950444	TP53 Protein Variant Length Divergence (NM_001126112.3 vs NM_001126115.2)	Comparison of NM_001126112.3.protein.fasta (393 aa) vs NM_001126115.2.protein.fasta (261 aa) reveals significant length and composition differences - 66.41% length ratio with >2% amino acid composition divergence	Length: 393aa vs 261aa | Ratio: 66.41% | A: 6.1% vs 3.8% | P: 11.5% vs 8.0% | R: 6.6% vs 9.2%
2026-03-13T05:15:33.119475	TP53 Canonical Protein Identity	Comparison of NM_000546.5.protein.fasta vs NM_000546.protein.fasta shows identical protein sequences - both 393 aa with 100% pairwise identity (ungapped)	Length: 393aa vs 393aa | Identity: 100.0%
2026-03-13T05:17:04.066401	TP53 Transcript Variant Protein Length Variation	Comparison of NM_001126115.2.protein.fasta (261 aa) vs NM_001126112.3.protein.fasta (393 aa) shows significant length differences with composition divergence (>2% for A, P, R amino acids)	Length: 261aa vs 393aa | Length ratio: 66.41% | Composition differences: A(3.8% vs 6.1%), P(8.0% vs 11.5%), R(9.2% vs 6.6%)
2026-03-13T05:18:04.263645	TP53 Isoform Protein Length Divergence	Comparison of NM_001126113.3.protein.fasta (346 aa) vs NM_001126115.2.protein.fasta (261 aa) shows significant length differences with composition divergence (>2% for K, P, R amino acids)	Length: 346aa vs 261aa | Length ratio: 75.43% | Composition differences: K(3.5% vs 6.1%), P(12.4% vs 8.0%), R(6.1% vs 9.2%)
2026-03-13T05:18:48.358235	TP53 Transcript Variant Protein Identity	Comparison of NM_001126112.3.protein.fasta (393 aa) vs NM_000546.protein.fasta (393 aa) shows 100% identity - these are the same canonical TP53 protein despite different transcript variant designations	Length: 393aa vs 393aa | Identity: 100.0%
2026-03-13T05:19:20.575432	TP53 mRNA Isoform Length Divergence	Comparison of NM_001126115.2.fasta (2003 bp) vs NM_001126113.3.fasta (2572 bp) shows significant length differences at DNA level, correlating with protein truncation patterns observed previously	Length: 2003bp vs 2572bp | Length ratio: 77.88%
2026-03-13T05:20:18.547668	TP53 Transcript Variant Protein Length Divergence	Comparison of NM_001126112.3.protein.fasta (393 aa) vs NM_001126113.3.protein.fasta (346 aa) shows significant length differences - transcript variant 2 encodes full-length protein while variant 4 is truncated	Length: 393aa vs 346aa | Length ratio: 88.04%
2026-03-13T05:20:52.528756	TP53 Transcript Variant Protein Length Divergence (Variant 1 vs 5)	Comparison of NM_000546.5.protein.fasta (393 aa) vs NM_001126115.2.protein.fasta (261 aa) shows significant length differences - transcript variant 1 encodes full-length protein while variant 5 is truncated	Length: 393aa vs 261aa | Length ratio: 66.41% | Composition differences: A(6.1% vs 3.8%), P(11.5% vs 8.0%), R(6.6% vs 9.2%)
2026-03-13T05:22:07.021294	TP53 Transcript Variant Protein Length Divergence (Variant 2 vs 5)	Comparison of NM_001126112.3.protein.fasta (393 aa) vs NM_001126115.2.protein.fasta (261 aa) shows significant length differences - transcript variant 2 encodes full-length protein while variant 5 is truncated	Length: 393aa vs 261aa | Length ratio: 66.41% | Composition differences: A(6.1% vs 3.8%), P(11.5% vs 8.0%), R(6.6% vs 9.2%)
2026-03-13T05:22:46.172455	Transcript Variant Length Divergence Pattern (296aa vs 261aa)	Comparison of NM_000712.protein.fasta (296 aa) vs NM_001126115.2.protein.fasta (261 aa) shows significant length differences - variant 1 encodes longer protein while variant 2 is truncated	Length: 296aa vs 261aa | Length ratio: 88.18% | Composition differences: D(2.4% vs 4.6%), E(11.8% vs 8.0%), F(5.4% vs 2.7%), L(13.2% vs 7.7%), P(3.0% vs 8.0%), R(5.1% vs 9.2%), T(2.0% vs 5.7%), V(7.8% vs 5.0%)
2026-03-13T05:23:50.717387	TP53 Transcript Variant Length Divergence Pattern (393aa vs 261aa)	Comparison of NM_000546.protein.fasta (393 aa) vs NM_001126115.2.protein.fasta (261 aa) shows significant length differences - variant 1 encodes longer protein while variant 2 is truncated	Length: 393aa vs 261aa | Length ratio: 66.41% | Composition differences: A(6.1% vs 3.8%), P(11.5% vs 8.0%), R(6.6% vs 9.2%)
